#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
(1) to pull; to draw; to stretch; to drag; (2) to pull the ball (baseball)	(١) يسحب؛ لرسم؛ لتمتد. للسحب؛ (2) لسحب الكرة (البيسبول)
(1) to retreat; to recede; to withdraw	(١) التراجع؛ أن تتراجع؛ للانسحاب
(1) to see off; to farewell; (2) to escort; (3) to let pass	(١) للوداع؛ إلى الوداع؛ (2) مرافقة؛ (٣) للترك
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) لتقديم (الطعام، الخ)؛ (2) لملء؛ (٣) لوصف
(1) to serve; to fill a post; to serve under; to work (for)	(١) للخدمة؛ لملء وظيفة؛ للخدمة تحت؛ للعمل (ل)
(1) to thrust; to strike; (2) to poke	(١) دفع؛ ليضرب؛ (2) لكزة
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(١) للتلويح؛ يهز. للتأرجح. (2) يرش؛ (3) يلقي (الممثل)؛ تخصيص (العمل)
(1) token; label; (2) ticket; (3) charm	(١) رمز؛ ملصق؛ (2) تذكرة؛ (3) سحر
(1) town; (2) street; road	(١) المدينة؛ (2) الشارع؛ الطريق
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) أثر؛ المسارات. علامة؛ لافتة؛ (٢) يبقى؛ أطلال؛ (3) ندبة
(1) used; second-hand; old	(1) مستعمل؛ اليد الثانية؛ قديم
(1) water level; (2) level; standard	(1) مستوى المياه؛ (2) المستوى؛ قياسي
(1) weight; (2) heavyweight boxer	(1) الوزن؛ (2) ملاكم من الوزن الثقيل
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(١) كليًا؛ تماما؛ بالكامل؛ (2) لا على الإطلاق (مع فعل سلبي)
(I am) the tallest in the family.	(أنا) الأطول في العائلة.
(I) drink coffee every morning.	(أنا) أشرب القهوة كل صباح.
(I) eat at a restaurant.	(أنا) آكل في مطعم.
(I) eat bread.	(أنا) أكل الخبز.
(I) go to Japan.	(أنا) اذهب إلى اليابان.
(I) watch a movie with a friend.	(أنا) أشاهد فيلمًا مع صديق.
(It) is not Mike.	(إنه) ليس مايك.
(a person) is in ...; stays at ...	(شخص) في ... ؛ يبقى في ...
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(أ) الفرح؛ (أ) البهجة؛ نشوة الطرب؛ سرور؛ إشباع؛ ابتهاج؛ تهانينا؛ التهاني
(abbr) Friday	(أبر) الجمعة
(abbr) Tuesday	(أبر) الثلاثاء
(abbr) alarm-clock	(أبر) المنبه
(at) any time; always; at all times; never (neg); whenever	(في) أي وقت؛ دائماً؛ في جميع الأوقات؛ أبدا (سلبي)؛ كلما
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(ateji) (adv int) (uk) دقيقة واحدة فقط؛ وقت قصير؛ فترة؛ قليلا فقط؛ إلى حد ما؛ بسهولة؛ بسهولة؛ راث
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (المملكة المتحدة) تهانينا!; مناسبة ميمونة!
(audio) recording	(الصوت) تسجيل
(bank) savings	(البنك) الادخار
(by) chance; unexpectedly; suddenly	(عن طريق) الصدفة؛ بشكل غير متوقع؛ فجأة
(car) wheel	عجلة (السيارة).
(col) round trip; coming and going; return ticket	(العقيد) ذهابا وإيابا؛ القادمة والذهاب. تذكرة العودة
(col) urine; piss	(العقيد) البول. شخ
(consumer) prices	أسعار (المستهلك).
(do something) early; fast	(افعل شيئًا) مبكرًا؛ سريع
(do something) late	(افعل شيئًا) متأخرًا
(do something) oneself	(افعل شيئًا) بنفسك
(enrolled) in school	(مسجل) في المدرسة
(fine) art; the arts	(الجميلة) الفن؛ الفنون
(flash of) lightning	(ومض) البرق
(flower) petal	(زهرة) بتلة
(food is) terrible	(الطعام) فظيع
(foot) race	سباق (القدم).
(giving) birth	(الولادة).
(going) side by side; concurrent; abreast; at the same time	(الذهاب) جنبا إلى جنب؛ متزامن؛ مواكبة؛ في نفس الوقت
(gram) subject	(غرام) موضوع
(hand) towel	(اليد) منشفة
(hon) aunt	(هون) عمة
(hon) good; OK; all right; fine; very well; will do; may; can	(هون) جيد؛ نعم؛ حسنًا؛ بخير؛ جيد جدا؛ سوف تفعل؛ يمكن؛ يمكن
(hon) look; inspection; try	(هون) انظر؛ تقتيش؛ حاول
(hon) to give; to confer	(هون) لإعطاء؛ لمنح
(hon) to visit; to ask; to inquire	(هون) للزيارة؛ أن تسأل؛ للاستفسار
(honorable) father	(الشريف) الأب
(honorable) mother	(كريمة) الأم
(honorable) older brother	(شريف) الأخ الأكبر
(honorable) older sister	(المشرفة) الأخت الكبرى
(honorable) wife	(شريفة) زوجة
(honorable) your husband	(كريم) زوجك
(hum) (pol) seeing; look at	(همهمة) (بول) رؤية؛ أنظر
(hum) to hear; to be told; to know	(همهمة) للاستماع؛ أن يقال؛ لمعرفة
(hum) to know	(همهمة) لتعرف
(human) life	(الإنسان) الحياة
(human) life (i.e. conception to death)	(الإنسان) الحياة (أي الحمل حتى الموت)
(humble) I; myself	(متواضع) أنا؛ نفسي
(humble) daughter	(متواضعة) ابنة
(humble) older brother	(متواضع) الأخ الأكبر
(humble) older sister	(متواضعة) الأخت الكبرى
(humble) siblings	(متواضع) إخوة
(humble) son	(متواضع) الابن
(humble) to be called; to say	(متواضع) ليُدعى؛ ليقول
(humble) to do	(متواضع) للقيام به
(humble) to go; to come	(متواضع) للذهاب؛ ليأتي
(humble) to look at	(متواضع) للنظر
(humble) to say; to tell	(تواضع) القول؛ ليقول
(humble) wife	(متواضعة) زوجة
(humble) younger sister	(متواضعة) الأخت الصغرى
(in) charge	(في) تهمة
(in) the evening sun; setting sun	(في) شمس المساء؛ غروب الشمس
(informal) You (used by men towards women)	(غير رسمية) أنت (يستخدمها الرجال تجاه النساء)
(it's a pity to waste) the effort	(إنه لأمر مؤسف أن نضيع) الجهد
(logical) true; regular	(منطقي) صحيح؛ منتظم
(male) (vulg) to eat	(ذكر) (فج) للأكل
(measuring) ruler	(القياس) المسطرة
(member of) political party	(عضو) حزب سياسي
(my) father	(والدي).
(my) mother	(أمي).
(my) older brother	(لي) أخي الأكبر
(my) older sister	(أختي) الكبرى
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(ن) (أ) الفرح؛ (أ) البهجة؛ نشوة الطرب؛ سرور؛ إشباع؛ ابتهاج؛ تهانينا؛ التهاني
(n) alias; pseudonym; pen name	(ن) الاسم المستعار؛ اسم مستعار؛ اسم القلم
(n) broom	(ن) المكنسة
(n) transfer (trains; buses; etc.)	(ن) النقل (القطارات، الحافلات، الخ.)
(not so) much; (not) very	(ليس كذلك) كثيرًا؛ (لا) جداً
(not) always; (not) necessarily; (not) all; (not) entirely	(ليس) دائمًا؛ (ليس) بالضرورة؛ (ليس) الكل؛ (لا) تماما
(not) at all	(لا) على الإطلاق
(not) by any means	(لا) بأي حال من الأحوال
(not) particularly; nothing	(لا) على وجه الخصوص؛ لا شيء
(outward) looks; features; face; countenance; expression	(الخارج) يبدو؛ سمات؛ وجه؛ طلعة؛ التعبير
(personal) bankruptcy	(الشخصي) الإفلاس
(phrase) sure; no mistaking it; for certain	(عبارة) يقينًا؛ لا يخطئ في ذلك؛ على وجه اليقين
(plant) bulb	(نبات) لمبة
(please) be sure to	(من فضلك) تأكد من ذلك
(please) look; (please) try to do	(من فضلك) أنظر؛ (من فضلك) حاول أن تفعل
(polite) to eat	(مهذبًا) في الأكل
(polite) to give	(مهذبا) للعطاء
(polite) your house	(مهذبا) منزلك
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(نقطة:) (ن) (المملكة المتحدة) التبغ (نقطة: تاباكو)؛ السجائر
(pt:) (n) playing cards (pt: carta)	(نقطة:) (ن) أوراق اللعب (نقطة: كارتا)
(religious) faith; belief; creed	(ديني) الإيمان؛ الاعتقاد؛ العقيدة
(rice) gruel	(الأرز) عصيدة
(river) basin	حوض (نهر).
(school) subject; curriculum; course	(المدرسة) الموضوع؛ مقرر؛ بالطبع
(sl) meals; food	(سل) وجبات الطعام؛ طعام
(sl) to embrace; to hug; to harbour; to entertain	(سل) لاحتضان؛ لعناق؛ لإيواء؛ للترفيه
(social) group; crowd; throng; mob; multitude	مجموعة (اجتماعية) ؛ حشد؛ حشد؛ الغوغاء. العديد
(social) position; status	الوضع (الاجتماعي) ؛ الحالة
(someone honorable) is present/home	(شخص شريف) موجود/المنزل
(someone's) daughter (polite)	(ابنة شخص ما) (مهذبة)
(someone) is gone; to disappear	(أحدهم) ذهب؛ لتختفي
(something) begins	(شيء) يبدأ
(something) breaks	(شيء) فواصل
(something) closes	(شيء) يغلق
(something) drops	(شيء) يسقط
(something) ends	(شيء) انتهى
(something) goes off	(شيء) ينفجر
(something) opens	(شيء) يفتح
(something) turns on	(شيء) يتحول
(something/someone) comes back	(شيء/شخص) يعود
(something/someone) separates; parts from	(شيء/شخص) ينفصل؛ أجزاء من
(sudden) change; reversal; turn-around; coming from behind (baseball)	(المفاجئ) التغيير؛ عكس. التف حوله؛ القادمة من الخلف (البيسبول)
(sudden) evening shower (rain)	(مفاجئ) دش مسائي (مطر)
(taking) notes; copying	(أخذ) الملاحظات؛ نسخ
(telephone) receiver	(الهاتف) جهاز الاستقبال
(term) paper	(المصطلح) ورقة
(the) date	(التاريخ).
(the) ground	(الأرض).
(the) market (as a concept)	(السوق) (كمفهوم)
(the) whole; universal; wholly; general	(الكل) ؛ عالمي. كليا؛ عام
(tire) goes flat	(الإطار) يصبح مسطحًا
(train) conductor	(القطار) موصل
(tree) trunk	(شجرة) جذع
(v5r) to behead; to murder	(الآية ٥ر) لقطع الرأس؛ للقتل
(v5r; vi) to take the place of; to relieve; to be substituted for	(الآية ٥ر؛ السادس) ليحل محل؛ للتخفيف؛ ليتم استبداله
(v5s) to tear off; to peel off; to rip off	(v5s) للتمزيق؛ لتقشر. لمزق
(v5u) to face; to go towards	(v5u) للوجه؛ للذهاب نحو
(wasted) effort	(الجهد الضائع).
(what) on earth	(ما) على الأرض
(your) backing; assistance	(الخاص بك) الدعم؛ المساعدة
(your) busy schedule	(الخاص بك) جدولك المزدحم
(your/her) husband	(زوجك).
(your/his) wife	(زوجتك/زوجته).
(your/his) wife (polite)	(زوجتك/زوجته) (مهذبة)
(your/their) child (polite)	(طفلك/طفلك) (مهذب)
-floor (counter); stories	-الأرضية (العداد)؛ قصص
-like; -looking; -looked	-مثل؛ - المظهر؛ - بدا
..., please.	... من فضلك.
...for example	... على سبيل المثال
...th floor	...الطابق الرابع
...year student	...طالب سنة
...years old	…سنوات
...yen	...ين
1.  (iron) hammer; 2.  punishment	1. (الحديد) المطرقة. 2. العقوبة
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (المملكة المتحدة) وجبة خفيفة بين الوجبات؛ مرطبات بعد الظهر؛ شاي بعد الظهر؛ 2. وجبة خفيفة في منتصف النهار
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. خصم؛ جائزة؛ 2. شيء إضافي؛ علاوة؛ اضافية؛ 3. مبالغة
1.  angle; 2.  bishop (shogi)	1. الزاوية؛ 2. أسقف (شوجي)
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. التفاصيل؛ القصة كاملة؛ تسلسل الأحداث؛ تفاصيل؛ كيف بدأت؛ كيف سارت الأمور على هذا النحو؛ 2. ج
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. نسخة واحدة على سبيل المثال. من الوثيقة؛ 2. جزء؛ جزئيا؛ بعض
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. عدة؛ متنوع؛ متباعد. متضاربة مختلف؛ متنوع؛ 2. تافهة
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. غريب؛ غريبة؛ أنيق؛ أنيقة؛ حار؛ مثلي؛ بارع؛ حلو المذاق؛ رومانسي؛ 2. المركز الثاني؛ العلامة الثانية لل
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. تعليق (شيء) على (شيء)؛ لرمي (الملابس) ؛ 2. لربط؛ للقبض؛ لفخ. إلى ensnar
10; ten	10؛ عشرة
10th	العاشر
10th (of the month)	العاشر (من الشهر)
10th day / ten days	اليوم العاشر / عشرة أيام
11th	الحادي عشر
12th	الثاني عشر
13th	الثالث عشر
14th	الرابع عشر
14th of the month	14 من الشهر
15th	الخامس عشر
16th	السادس عشر
17th	السابع عشر
18th	الثامن عشر
19th	التاسع عشر
1st	الأول
1st day of the month	اليوم الأول من الشهر
1st of the month	1 من الشهر
20 years old; 20th year	20 سنة؛ السنة العشرين
20th	العشرين
20th day of the month	اليوم العشرين من الشهر
20th of the month	20 من الشهر
21st	الحادي والعشرون
22nd	الثاني والعشرون
23rd	الثالث والعشرون
24th	الرابع والعشرون
24th of the month	24 من الشهر
25th	الخامس والعشرون
26th	السادس والعشرون
27th	السابع والعشرون
28th	الثامن والعشرون
29th	التاسع والعشرون
2nd	الثاني
2nd day / two days	اليوم الثاني / يومين
2nd of the month	الثاني من الشهر
3 p.m.	3 مساءا
30th	الثلاثين
30th of the month	30 من الشهر
31st	الحادي والثلاثين
3rd	الثالث
3rd day / three days	اليوم الثالث / ثلاثة أيام
3rd of the month	3 من الشهر
4th	الرابع
4th day / four days	اليوم الرابع / أربعة أيام
4th of the month	الرابع من الشهر
5th	الخامس
5th day / five days	اليوم الخامس / خمسة أيام
5th of the month	الخامس من الشهر
60th birthday	عيد الميلاد الستين
6th	السادس
6th day / six days	اليوم السادس / ستة أيام
6th of the month	السادس من الشهر
7th	السابع
7th (of the month)	السابع (من الشهر)
7th day / seven days	اليوم السابع / سبعة أيام
8th	الثامن
8th day / eight days	اليوم الثامن / ثمانية أيام
8th of the month	الثامن من الشهر
9 a.m.	9 صباحا
9th	التاسع
9th day / nine days	اليوم التاسع / تسعة أيام
9th of the month	التاسع من الشهر
A car is faster than a bicycle.	السيارة أسرع من الدراجة.
A car is parked in front of the house.	هناك سيارة متوقفة أمام المنزل.
A cat is bigger than a rabbit.	القطة أكبر من الأرنب.
A massage helps my back.	التدليك يساعد ظهري.
A storm is coming.	عاصفة قادمة.
A train is stopped at the station.	قطار متوقف في المحطة.
A.M.	أكون.
AIDS	الإيدز
AM (also means morning)	AM (تعني أيضًا الصباح)
Act (law: the X Act)	القانون (القانون: قانون X)
After I eat, I'll go out.	بعد أن أتناول الطعام، سأخرج.
After listening to music, I study.	بعد الاستماع إلى الموسيقى، أدرس.
After she had left, I felt sad.	وبعد رحيلها شعرت بالحزن.
After the bank, go past the park. The museum is on your right.	بعد البنك، تجاوز الحديقة. المتحف على يمينك.
After washing my hands, I ate.	بعد أن غسلت يدي، أكلت.
Am I late for the meeting?	هل تأخرت عن الاجتماع؟
America	أمريكا
American person	شخص أمريكي
An apple a day keeps the doctor away.	تفاحة في اليوم تبقيك بعيدا عن الطبيب.
An apple is good for health.	التفاحة مفيدة للصحة.
Any plans next month?	أي خطط الشهر المقبل؟
Any student can answer this.	يمكن لأي طالب الإجابة على هذا.
Anyone can learn to cook.	يمكن لأي شخص أن يتعلم الطبخ.
Anyone, regardless of gender, can participate.	يمكن لأي شخص، بغض النظر عن الجنس، المشاركة.
Anything to eat with that?	أي شيء للأكل مع ذلك؟
Apple	أبل
April	أبريل
Are they coming today?	هل سيأتون اليوم؟
Are we going to be late?	هل سنتأخر؟
Are we meeting at five?	هل نلتقي في الخامسة؟
Are we on time?	هل نحن في الوقت المحدد؟
Are you a teacher?	هل أنت مدرس؟
Are you checking any bags today?	هل تقوم بفحص أي حقائب اليوم؟
Are you coming with us?	هل ستأتي معنا؟
Are you free tomorrow?	هل أنت حر غدا؟
Are you from Japan?	هل أنت من اليابان؟
Are you going to come to the meeting?	هل ستأتي إلى الاجتماع؟
Are you going to tell her the truth?	هل ستخبرها بالحقيقة؟
Are you okay?	هل أنت بخير؟
Are you ready to go?	هل أنت مستعد للذهاب؟
Are you ready to order?	هل أنت مستعد لعمل الطلب؟
As for cats, I like them.	أما بالنسبة للقطط فأنا أحبها.
As for next week, I will rest.	أما بالنسبة للأسبوع المقبل، فسوف أرتاح.
As for next year, I will go to Japan.	أما بالنسبة للعام المقبل، فسوف أذهب إلى اليابان.
As for today, it's sunny.	أما اليوم فالجو مشمس.
As for yesterday, I went shopping.	أما بالأمس، ذهبت للتسوق.
As time passes, I end up forgetting.	مع مرور الوقت، ينتهي بي الأمر إلى النسيان.
As your senior, let me say one word.	ككبير لك، اسمحوا لي أن أقول كلمة واحدة.
Asian studies	الدراسات الآسيوية
At 8 PM I will be watching the match.	الساعة 8 مساءً سأشاهد المباراة.
At no point did he admit his mistake.	ولم يعترف بخطئه في أي وقت.
August	أغسطس
Australia	أستراليا
Autumn is cool.	الخريف بارد.
Ball	الكرة
Be careful!	كن حذرا!
Before he arrived, we had finished eating.	وقبل وصوله كنا قد انتهينا من تناول الطعام.
Bon dance (Japanese traditional dance)	رقصة البون (رقصة يابانية تقليدية)
Breakfast is served from 7 to 9 in the first-floor restaurant.	يتم تقديم وجبة الإفطار من الساعة 7 إلى الساعة 9 في مطعم الطابق الأول.
Britain	بريطانيا
Buddha; merciful person; Buddhist image; the dead	بوذا؛ شخص رحيم؛ الصورة البوذية؛ الموتى
Buddhist karma; actions committed in a former life	الكرمة البوذية. الأفعال التي ارتكبت في الحياة السابقة
Buddhist priest; monk	كاهن بوذي؛ راهب
Buddhist temple	معبد بوذي
By 2028 I will have graduated.	بحلول عام 2028 سأكون قد تخرجت.
By 2030, I will have graduated.	وبحلول عام 2030، سأكون قد تخرجت.
By 9 PM we will have watched the whole series.	بحلول الساعة 9 مساءً، سنكون قد شاهدنا المسلسل بأكمله.
By card, please.	بالبطاقة من فضلك.
By next month we will have saved enough.	وبحلول الشهر المقبل، سنكون قد وفرنا ما يكفي.
By the end of the year, we will have visited five countries.	وبحلول نهاية العام، سنكون قد قمنا بزيارة خمسة بلدان.
By the rules it's not allowed, but in practice you can.	وفقًا للقواعد، هذا غير مسموح به، ولكن في الممارسة العملية يمكنك ذلك.
By the time I woke up, everyone had left.	بحلول الوقت الذي استيقظت فيه، كان الجميع قد غادروا.
By the time you arrive, we will have eaten.	بحلول وقت وصولك، سوف نكون قد أكلنا.
By then, I will have forgotten his name.	وبحلول ذلك الوقت، سأكون قد نسيت اسمه.
By then, he will be driving home.	وبحلول ذلك الوقت، سوف يكون يقود سيارته إلى المنزل.
By this time next year, I will have changed my job.	بحلول هذا الوقت من العام المقبل، سأكون قد غيرت وظيفتي.
CD	قرص مضغوط
California	كاليفورنيا
Call an ambulance!	استدعاء سيارة إسعاف!
Call me when you're free.	اتصل بي عندما تكون متفرغًا.
Call the police!	اتصل بالشرطة!
Can I ask a favor?	هل يمكنني طلب معروف؟
Can I borrow some money?	هل يمكنني اقتراض بعض المال؟
Can I change rooms?	هل يمكنني تغيير الغرف؟
Can I come in?	هل يمكنني الدخول؟
Can I exchange it?	هل يمكنني استبداله؟
Can I get a map?	هل يمكنني الحصول على خريطة؟
Can I get a receipt?	هل يمكنني الحصول على إيصال؟
Can I get this to go?	هل يمكنني الحصول على هذا للذهاب؟
Can I have some water?	هل أستطيع الحصول على بعض الماء؟
Can I leave my bags here?	هل يمكنني ترك حقائبي هنا؟
Can I leave my luggage?	هل يمكنني ترك أمتعتي؟
Can I park here?	يمكنني الركون  هنا؟
Can I pay by card on the bus?	هل يمكنني الدفع بالبطاقة في الحافلة؟
Can I pay by card?	هل يمكنني الدفع عن طريق البطاقة؟
Can I return it?	هل يمكنني إعادته؟
Can I return this?	هل يمكنني إرجاع هذا؟
Can I take a message?	هل يمكنني أخذ رسالة؟
Can I take it to go?	هل يمكنني أخذها للذهاب؟
Can I take photos here?	هل يمكنني التقاط الصور هنا؟
Can I try this on?	هل يمكنني تجربة هذا؟
Can I use a credit card?	هل يمكنني استخدام بطاقة الائتمان؟
Can I use this ticket?	هل يمكنني استخدام هذه التذكرة؟
Can I use your phone?	هل يمكنني استخدام هاتفك؟
Can she cook?	هل يمكنها الطبخ؟
Can we pay by card?	هل يمكننا الدفع بالبطاقة؟
Can we play here?	هل يمكننا اللعب هنا؟
Can we see the menu?	هل يمكننا رؤية القائمة؟
Can you call a taxi?	هل يمكنك استدعاء سيارة أجرة؟
Can you come to my birthday?	هل يمكنك أن تأتي إلى عيد ميلادي؟
Can you come tomorrow?	هل يمكنك أن تأتي غدا؟
Can you eat spicy food?	هل يمكنك تناول الطعام الحار؟
Can you explain it simply?	هل يمكنك شرح ذلك ببساطة؟
Can you fix it, please?	هل يمكنك إصلاحه، من فضلك؟
Can you fix it?	هل يمكنك اصلاحها؟
Can you hear that noise?	هل يمكنك سماع هذا الضجيج؟
Can you help me with this box?	هل يمكنك مساعدتي في هذا الصندوق؟
Can you help me, please?	هل يمكنك مساعدتي، من فضلك؟
Can you recommend a pharmacy?	هل تستطيع أن توصي بصيدلية؟
Can you see it?	هل تستطيع رؤيته؟
Can you show me on the map?	هل يمكنك أن تريني على الخريطة؟
Can you speak Japanese?	هل يمكنك التحدث باللغة اليابانية؟
Can you speak in English?	هل يمكنك التحدث باللغة الإنجليزية؟
Can you speak more slowly?	هل يمكنك التحدث ببطء أكثر؟
Can you swim?	هل يمكنك السباحة؟
Can you wait a moment?	هل يمكنك الانتظار لحظة؟
Can you watch my bag?	هل يمكنك مشاهدة حقيبتي؟
Canada	كندا
Cat	قطة
