#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
(1) to see off; to farewell; (2) to escort; (3) to let pass	(1) verabschieden; sich verabschieden; (2) begleiten; (3) passieren lassen
(1) to serve (food; etc.); (2) to fill up; (3) to prescribe	(1) servieren (Essen usw.); (2) auffüllen; (3) verschreiben
(1) to serve; to fill a post; to serve under; to work (for)	(1) dienen; eine Stelle besetzen; unter dienen; arbeiten (für)
(1) to thrust; to strike; (2) to poke	(1) stoßen; zuschlagen; (2) stupsen
(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)	(1) winken; schütteln; schwingen; (2) bestreuen; (3) besetzen (Schauspieler); (Arbeit) verteilen
(1) token; label; (2) ticket; (3) charm	(1) Token; Etikett; (2) Fahrkarte; (3) Charme
(1) town; (2) street; road	(1) Stadt; (2) Straße; Straße
(1) trace; tracks; mark; sign; (2) remains; ruins; (3) scar	(1) Spur; Spuren; markieren; Zeichen; (2) bleibt bestehen; Ruinen; (3) Narbe
(1) used; second-hand; old	(1) verwendet; aus zweiter Hand; alt
(1) water level; (2) level; standard	(1) Wasserstand; (2) Ebene; Standard
(1) weight; (2) heavyweight boxer	(1) Gewicht; (2) Schwergewichtsboxer
(1) wholly; entirely; completely; (2) not at all (with neg. verb)	(1) vollständig; vollständig; vollständig; (2) überhaupt nicht (mit neg. Verb)
(I am) the tallest in the family.	(Ich bin) der Größte in der Familie.
(I) drink coffee every morning.	(Ich) trinke jeden Morgen Kaffee.
(I) eat at a restaurant.	(Ich) esse in einem Restaurant.
(I) eat bread.	(Ich) esse Brot.
(I) go to Japan.	(Ich) gehe nach Japan.
(I) watch a movie with a friend.	(Ich) schaue mir mit einem Freund einen Film an.
(It) is not Mike.	(Es) ist nicht Mike.
(a person) is in ...; stays at ...	(eine Person) ist in ...; bleibt bei ...
(a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(a) Freude; (a) Freude; Entrückung; Vergnügen; Befriedigung; Jubel; Glückwunsch; Glückwünsche
(abbr) Friday	(Abk.) Freitag
(abbr) Tuesday	(Abk.) Dienstag
(abbr) alarm-clock	(Abk.) Wecker
(at) any time; always; at all times; never (neg); whenever	(zu) jeder Zeit; stets; jederzeit; nie (negativ); wann immer
(ateji) (adv int) (uk) just a minute; a short time; a while; just a little; somewhat; easily; readily; rath	(ateji) (adv int) (uk) nur eine Minute; eine kurze Zeit; eine Weile; nur ein bisschen; etwas; leicht; leicht; rath
(ateji) (int) (uk) Congratulations!; an auspicious occasion!	(ateji) (int) (uk) Herzlichen Glückwunsch!; ein glückverheißender Anlass!
(audio) recording	(Audio-)Aufnahme
(bank) savings	(Bank-)Ersparnisse
(by) chance; unexpectedly; suddenly	(zufällig) Zufall; unerwartet; plötzlich
(car) wheel	(Auto-)Rad
(col) round trip; coming and going; return ticket	(col) Hin- und Rückfahrt; Kommen und Gehen; Rückfahrkarte
(col) urine; piss	(col) Urin; Pisse
(consumer) prices	(Verbraucher-)Preise
(do something) early; fast	(etwas tun) früh; schnell
(do something) late	(etwas tun) zu spät
(do something) oneself	(etwas) selbst tun
(enrolled) in school	(eingeschrieben) in der Schule
(fine) art; the arts	(schöne) Kunst; die Künste
(flash of) lightning	(Blitz) Blitz
(flower) petal	(Blume) Blütenblatt
(food is) terrible	(Essen ist) schrecklich
(foot) race	(Fuß-)Rennen
(giving) birth	(Gebären).
(going) side by side; concurrent; abreast; at the same time	(gehen) Seite an Seite; gleichzeitig; nebeneinander; gleichzeitig
(gram) subject	(Gramm) Subjekt
(hand) towel	(Hand-)Handtuch
(hon) aunt	(hon) Tante
(hon) good; OK; all right; fine; very well; will do; may; can	(hon) gut; OK; in Ordnung; Bußgeld; sehr gut; wird tun; Mai; kann
(hon) look; inspection; try	(hon) schau; Inspektion; Versuchen Sie es
(hon) to give; to confer	(hon) geben; verleihen
(hon) to visit; to ask; to inquire	(hon) zu besuchen; fragen; nachfragen
(honorable) father	(ehrenwerter) Vater
(honorable) mother	(ehrenwerte) Mutter
(honorable) older brother	(ehrenhafter) älterer Bruder
(honorable) older sister	(ehrenwerte) ältere Schwester
(honorable) wife	(ehrenwerte) Ehefrau
(honorable) your husband	(ehrenwert) Ihr Mann
(hum) (pol) seeing; look at	(summen) (pol) sehen; anschauen
(hum) to hear; to be told; to know	(summen) hören; erzählt werden; wissen
(hum) to know	(summen) wissen
(human) life	(menschliches) Leben
(human) life (i.e. conception to death)	(menschliches) Leben (d. h. Empfängnis bis zum Tod)
(humble) I; myself	(demütig) Ich; ich selbst
(humble) daughter	(bescheidene) Tochter
(humble) older brother	(bescheidener) älterer Bruder
(humble) older sister	(bescheidene) ältere Schwester
(humble) siblings	(bescheidene) Geschwister
(humble) son	(bescheidener) Sohn
(humble) to be called; to say	(demütig) berufen werden; zu sagen
(humble) to do	(bescheiden) zu tun
(humble) to go; to come	(demütig) gehen; kommen
(humble) to look at	(bescheiden) anzusehen
(humble) to say; to tell	(bescheiden) zu sagen; erzählen
(humble) wife	(bescheidene) Frau
(humble) younger sister	(bescheidene) jüngere Schwester
(in) charge	(in) verantwortlich
(in) the evening sun; setting sun	(in) der Abendsonne; untergehende Sonne
(informal) You (used by men towards women)	(informell) Sie (von Männern gegenüber Frauen verwendet)
(it's a pity to waste) the effort	(Es ist schade, die Mühe zu verschwenden.)
(logical) true; regular	(logisch) wahr; regelmäßig
(male) (vulg) to eat	(männlich) (vulg) essen
(measuring) ruler	(Mess-)Lineal
(member of) political party	(Mitglied einer) politischen Partei
(my) father	(mein) Vater
(my) mother	(meine) Mutter
(my) older brother	(mein) älterer Bruder
(my) older sister	(meine) ältere Schwester
(n) (a) joy; (a) delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations	(n) (a) Freude; (a) Freude; Entrückung; Vergnügen; Befriedigung; Jubel; Glückwunsch; Glückwünsche
(n) alias; pseudonym; pen name	(n) Alias; Pseudonym; Pseudonym
(n) broom	(n) Besen
(n) transfer (trains; buses; etc.)	(n) Transfer (Züge, Busse usw.)
(not so) much; (not) very	(nicht so) viel; (nicht) sehr
(not) always; (not) necessarily; (not) all; (not) entirely	(nicht) immer; (nicht) unbedingt; (nicht) alle; (nicht) ganz
(not) at all	(überhaupt) nicht
(not) by any means	(nicht) auf jeden Fall
(not) particularly; nothing	(nicht) insbesondere; nichts
(outward) looks; features; face; countenance; expression	(nach außen) schaut; Merkmale; Gesicht; Antlitz; Ausdruck
(personal) bankruptcy	(Privat-)Insolvenz
(phrase) sure; no mistaking it; for certain	(Satz) sicher; kein Zweifel; mit Sicherheit
(plant) bulb	(Pflanzen-)Zwiebel
(please) be sure to	(Bitte) stellen Sie sicher, dass Sie es tun
(please) look; (please) try to do	(bitte) schauen; (Bitte) versuchen Sie es
(polite) to eat	(höflich) zu essen
(polite) to give	(höflich) zu geben
(polite) your house	(höflich) Ihr Haus
(pt:) (n) (uk) tobacco (pt: tabaco); cigarettes	(pt:) (n) (uk) Tabak (pt: tabaco); Zigaretten
(pt:) (n) playing cards (pt: carta)	(pt:) (n) Spielkarten (pt: carta)
(religious) faith; belief; creed	(religiöser) Glaube; Glauben; Glaubensbekenntnis
(rice) gruel	(Reis-)Brei
(river) basin	(Fluss-)Becken
(school) subject; curriculum; course	(Schul-)Fach; Lehrplan; natürlich
(sl) meals; food	(sl) Mahlzeiten; Essen
(sl) to embrace; to hug; to harbour; to entertain	(sl) umarmen; umarmen; zum Hafen; unterhalten
(social) group; crowd; throng; mob; multitude	(soziale) Gruppe; Menge; Menschenmenge; Mob; Menge
(social) position; status	(soziale) Stellung; Status
(someone honorable) is present/home	(jemand ehrenhaft) ist anwesend/zu Hause
(someone's) daughter (polite)	(jemandes) Tochter (höflich)
(someone) is gone; to disappear	(jemand) ist weg; verschwinden
(something) begins	(etwas) beginnt
(something) breaks	(etwas) geht kaputt
(something) closes	(etwas) schließt sich
(something) drops	(etwas) fällt
(something) ends	(etwas) endet
(something) goes off	(etwas) geht los
(something) opens	(etwas) öffnet sich
(something) turns on	(etwas) schaltet sich ein
(something/someone) comes back	(etwas/jemand) kommt zurück
(something/someone) separates; parts from	(etwas/jemand) trennt sich; Teile aus
(sudden) change; reversal; turn-around; coming from behind (baseball)	(plötzliche) Veränderung; Umkehrung; umdrehen; von hinten kommen (Baseball)
(sudden) evening shower (rain)	(plötzlicher) Abendschauer (Regen)
(taking) notes; copying	(Notizen machen); Kopieren
(telephone) receiver	(Telefon-)Empfänger
(term) paper	(Semester-)Arbeit
(the) date	(das) Datum
(the) ground	(der) Boden
(the) market (as a concept)	(der) Markt (als Konzept)
(the) whole; universal; wholly; general	(das) Ganze; Universal; ganz; allgemein
(tire) goes flat	(Reifen) geht platt
(train) conductor	(Zug-) Schaffner
(tree) trunk	(Baum-)Stamm
(v5r) to behead; to murder	(v5r) enthaupten; zu morden
(v5r; vi) to take the place of; to relieve; to be substituted for	(v5r; vi) an die Stelle von treten; erleichtern; ersetzt werden
(v5s) to tear off; to peel off; to rip off	(v5s) abreißen; abziehen; abzocken
(v5u) to face; to go towards	(v5u) gegenüberstehen; hingehen
(wasted) effort	(vergebliche) Anstrengung
(what) on earth	(was) um alles in der Welt
(your) backing; assistance	(Ihre) Unterstützung; Hilfe
(your) busy schedule	(Ihr) voller Terminkalender
(your/her) husband	(Ihr/ihr) Ehemann
(your/his) wife	(deine/seine) Frau
(your/his) wife (polite)	(deine/seine) Frau (höflich)
(your/their) child (polite)	(Ihr/ihr) Kind (höflich)
-floor (counter); stories	-Boden (Theke); Geschichten
-like; -looking; -looked	-wie; -schauend; -schaute
..., please.	..., bitte.
...for example	...zum Beispiel
...th floor	.... Stock
...year student	...Jahresstudent
...years old	...Jahre alt
...yen	...Yen
1.  (iron) hammer; 2.  punishment	1. (Eisen-)Hammer; 2. Bestrafung
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (uk) Snack zwischen den Mahlzeiten; Erfrischung am Nachmittag; Nachmittagstee; 2. Mittagssnack
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. ein Rabatt; ein Preis; 2. etwas Zusätzliches; Bonus; ein Extra; 3. eine Übertreibung
1.  angle; 2.  bishop (shogi)	1. Winkel; 2. Bischof (Shogi)
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. Einzelheiten; ganze Geschichte; Abfolge der Ereignisse; Einzelheiten; wie es begann; wie es dazu kam; 2. c
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. ein Exemplar z.B. eines Dokuments; 2. ein Teil; teilweise; einige
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. mehrere; verschieden; divergent; widersprüchlich; anders; vielfältig; 2. trivial
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. seltsam; urig; stilvoll; schick; scharf; seltsam; witzig; lecker; romantisch; 2. 2. im Rang; zweites Zeichen des
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. (etwas) an (etwas) hängen; (Kleidung) anziehen; 2. einhaken; fangen; fangen; verführen
10; ten	10; zehn
10th	10
10th (of the month)	10. (des Monats)
10th day / ten days	10. Tag / zehn Tage
11th	11
12th	12
13th	13
14th	14
14th of the month	14. des Monats
15th	15
16th	16
17th	17
18th	18
19th	19
1st	1
1st day of the month	1. Tag des Monats
1st of the month	1. des Monats
20 years old; 20th year	20 Jahre alt; 20. Jahr
20th	20
20th day of the month	20. Tag des Monats
20th of the month	20. des Monats
21st	21
22nd	22
23rd	23
24th	24
24th of the month	24. des Monats
25th	25
26th	26
27th	27
28th	28
29th	29
2nd	2
2nd day / two days	2. Tag / zwei Tage
2nd of the month	2. des Monats
3 p.m.	15 Uhr
30th	30
30th of the month	30. des Monats
31st	31
3rd	3
3rd day / three days	3. Tag / drei Tage
3rd of the month	3. des Monats
4th	4
4th day / four days	4. Tag / vier Tage
4th of the month	4. des Monats
5th	5
5th day / five days	5. Tag / fünf Tage
5th of the month	5. des Monats
60th birthday	60. Geburtstag
6th	6
6th day / six days	6. Tag / sechs Tage
6th of the month	6. des Monats
7th	7
7th (of the month)	7. (des Monats)
7th day / seven days	7. Tag / sieben Tage
8th	8
8th day / eight days	8. Tag / acht Tage
8th of the month	8. des Monats
9 a.m.	9 Uhr morgens
9th	9
9th day / nine days	9. Tag / neun Tage
9th of the month	9. des Monats
A car is faster than a bicycle.	Ein Auto ist schneller als ein Fahrrad.
A car is parked in front of the house.	Vor dem Haus parkt ein Auto.
A cat is bigger than a rabbit.	Eine Katze ist größer als ein Kaninchen.
A massage helps my back.	Eine Massage hilft meinem Rücken.
A storm is coming.	Ein Sturm kommt.
A train is stopped at the station.	Ein Zug wird am Bahnhof angehalten.
A.M.	BIN.
AIDS	AIDS
AM (also means morning)	AM (bedeutet auch Morgen)
Act (law: the X Act)	Gesetz (Gesetz: das X-Gesetz)
After I eat, I'll go out.	Nachdem ich gegessen habe, gehe ich aus.
After listening to music, I study.	Nachdem ich Musik gehört habe, lerne ich.
After she had left, I felt sad.	Nachdem sie gegangen war, war ich traurig.
After the bank, go past the park. The museum is on your right.	Gehen Sie nach der Bank am Park vorbei. Das Museum liegt auf der rechten Seite.
After washing my hands, I ate.	Nachdem ich meine Hände gewaschen hatte, aß ich.
Am I late for the meeting?	Komme ich zu spät zur Besprechung?
America	Amerika
American person	Amerikanischer Mensch
An apple a day keeps the doctor away.	Ein Apfel am Tag hält den Arzt fern.
An apple is good for health.	Ein Apfel ist gut für die Gesundheit.
Any plans next month?	Irgendwelche Pläne für nächsten Monat?
Any student can answer this.	Jeder Student kann diese Frage beantworten.
Anyone can learn to cook.	Jeder kann kochen lernen.
Anyone, regardless of gender, can participate.	Mitmachen kann jeder, unabhängig vom Geschlecht.
Anything to eat with that?	Gibt es dazu etwas zu essen?
Apple	Apfel
April	April
Are they coming today?	Kommen sie heute?
Are we going to be late?	Kommen wir zu spät?
Are we meeting at five?	Treffen wir uns um fünf?
Are we on time?	Sind wir pünktlich?
Are you a teacher?	Sind Sie Lehrer?
Are you checking any bags today?	Überprüfen Sie heute irgendwelche Taschen?
Are you coming with us?	Kommst du mit uns?
Are you free tomorrow?	Hast du morgen Zeit?
Are you from Japan?	Kommst du aus Japan?
Are you going to come to the meeting?	Wirst du zum Treffen kommen?
Are you going to tell her the truth?	Wirst du ihr die Wahrheit sagen?
Are you okay?	Geht es dir gut?
Are you ready to go?	Bist du bereit zu gehen?
Are you ready to order?	Sind Sie bereit zu bestellen?
As for cats, I like them.	Was Katzen betrifft, ich mag sie.
As for next week, I will rest.	Nächste Woche werde ich mich ausruhen.
As for next year, I will go to Japan.	Nächstes Jahr werde ich nach Japan reisen.
As for today, it's sunny.	Heute ist es sonnig.
As for yesterday, I went shopping.	Gestern war ich einkaufen.
As time passes, I end up forgetting.	Mit der Zeit vergesse ich es.
As your senior, let me say one word.	Lassen Sie mich als Ihr Vorgesetzter ein Wort sagen.
Asian studies	Asienstudien
At 8 PM I will be watching the match.	Um 20 Uhr werde ich mir das Spiel ansehen.
At no point did he admit his mistake.	Zu keinem Zeitpunkt gab er seinen Fehler zu.
August	August
Australia	Australien
Autumn is cool.	Der Herbst ist kühl.
Ball	Kugel
Be careful!	Seien Sie vorsichtig!
Before he arrived, we had finished eating.	Bevor er ankam, waren wir mit dem Essen fertig.
Bon dance (Japanese traditional dance)	Bon-Tanz (traditioneller japanischer Tanz)
Breakfast is served from 7 to 9 in the first-floor restaurant.	Das Frühstück wird von 7 bis 9 Uhr im Restaurant im ersten Stock serviert.
Britain	Großbritannien
Buddha; merciful person; Buddhist image; the dead	Buddha; barmherziger Mensch; Buddhistisches Bild; die Toten
Buddhist karma; actions committed in a former life	Buddhistisches Karma; Handlungen, die in einem früheren Leben begangen wurden
Buddhist priest; monk	buddhistischer Priester; Mönch
Buddhist temple	Buddhistischer Tempel
By 2028 I will have graduated.	Bis 2028 werde ich mein Studium abgeschlossen haben.
By 2030, I will have graduated.	Bis 2030 werde ich mein Studium abgeschlossen haben.
By 9 PM we will have watched the whole series.	Um 21 Uhr werden wir die ganze Serie gesehen haben.
By card, please.	Bitte per Karte.
By next month we will have saved enough.	Bis zum nächsten Monat werden wir genug gespart haben.
By the end of the year, we will have visited five countries.	Bis zum Jahresende werden wir fünf Länder besucht haben.
By the rules it's not allowed, but in practice you can.	Nach den Regeln ist das nicht erlaubt, aber in der Praxis ist es möglich.
By the time I woke up, everyone had left.	Als ich aufwachte, waren alle gegangen.
By the time you arrive, we will have eaten.	Wenn Sie ankommen, haben wir gegessen.
By then, I will have forgotten his name.	Bis dahin werde ich seinen Namen vergessen haben.
By then, he will be driving home.	Bis dahin wird er nach Hause fahren.
By this time next year, I will have changed my job.	Nächstes Jahr um diese Zeit werde ich meinen Job gewechselt haben.
CD	CD
California	Kalifornien
Call an ambulance!	Rufen Sie einen Krankenwagen!
Call me when you're free.	Rufen Sie mich an, wenn Sie Zeit haben.
Call the police!	Rufen Sie die Polizei!
Can I ask a favor?	Kann ich Sie um einen Gefallen bitten?
Can I borrow some money?	Kann ich mir etwas Geld leihen?
Can I change rooms?	Kann ich das Zimmer wechseln?
Can I come in?	Kann ich reinkommen?
Can I exchange it?	Kann ich es umtauschen?
Can I get a map?	Kann ich eine Karte bekommen?
Can I get a receipt?	Kann ich eine Quittung bekommen?
Can I get this to go?	Kann ich das zum Laufen bringen?
Can I have some water?	Kann ich etwas Wasser haben?
Can I leave my bags here?	Kann ich mein Gepäck hier lassen?
Can I leave my luggage?	Kann ich mein Gepäck lassen?
Can I park here?	Kann ich hier parken?
Can I pay by card on the bus?	Kann ich im Bus mit Karte bezahlen?
Can I pay by card?	Kann ich mit Karte bezahlen?
Can I return it?	Kann ich es zurückgeben?
Can I return this?	Kann ich das zurückgeben?
Can I take a message?	Kann ich eine Nachricht entgegennehmen?
Can I take it to go?	Kann ich es mitnehmen?
Can I take photos here?	Kann ich hier Fotos machen?
Can I try this on?	Kann ich das anprobieren?
Can I use a credit card?	Kann ich eine Kreditkarte verwenden?
Can I use this ticket?	Kann ich dieses Ticket nutzen?
Can I use your phone?	Kann ich Ihr Telefon benutzen?
Can she cook?	Kann sie kochen?
Can we pay by card?	Können wir mit Karte bezahlen?
Can we play here?	Können wir hier spielen?
Can we see the menu?	Können wir die Speisekarte sehen?
Can you call a taxi?	Können Sie ein Taxi rufen?
Can you come to my birthday?	Kannst du zu meinem Geburtstag kommen?
Can you come tomorrow?	Kannst du morgen kommen?
Can you eat spicy food?	Kann man scharfes Essen essen?
Can you explain it simply?	Kannst du es einfach erklären?
Can you fix it, please?	Können Sie das bitte beheben?
Can you fix it?	Können Sie es reparieren?
Can you hear that noise?	Kannst du dieses Geräusch hören?
Can you help me with this box?	Können Sie mir bei dieser Box helfen?
Can you help me, please?	Können Sie mir bitte helfen?
Can you recommend a pharmacy?	Können Sie eine Apotheke empfehlen?
Can you see it?	Kannst du es sehen?
Can you show me on the map?	Können Sie mir auf der Karte zeigen?
Can you speak Japanese?	Kannst du Japanisch?
Can you speak in English?	Kannst du Englisch sprechen?
Can you speak more slowly?	Können Sie langsamer sprechen?
Can you swim?	Können Sie schwimmen?
Can you wait a moment?	Kannst du einen Moment warten?
Can you watch my bag?	Kannst du auf meine Tasche aufpassen?
Canada	Kanada
Cat	Katze
Cats like milk.	Katzen mögen Milch.
Certainly.	Sicherlich.
Cheers!	Prost!
Cheers! (a toast)	Prost! (ein Toast)
Chicago	Chicago
Children's Day	Kindertag
China	China
Chinese Character-Japanese (e.g. dictionary)	Chinesische Schriftzeichen-Japanisch (z. B. Wörterbuch)
Chinese character	Chinesisches Schriftzeichen
Chinese word; Sino-Japanese word	Chinesisches Wort; Chinesisch-japanisches Wort
Choose any color.	Wählen Sie eine beliebige Farbe.
Christian Era; anno domini (A.D.)	Christliche Ära; anno domini (n. Chr.)
Christmas	Weihnachten
Coffee and cake, please.	Kaffee und Kuchen, bitte.
Coffee is grown in Brazil.	Kaffee wird in Brasilien angebaut.
Coffee, please.	Kaffee, bitte.
Come here, please.	Kommen Sie bitte hierher.
Come into the kitchen.	Komm in die Küche.
Congratulations on graduating!	Herzlichen Glückwunsch zum Abschluss!
Congratulations on your wedding!	Herzlichen Glückwunsch zu Ihrer Hochzeit!
Congratulations!	Glückwunsch!
Congratulations.	Glückwunsch.
Constitution Day	Tag der Verfassung
Could I borrow your pen?	Könnte ich mir deinen Stift ausleihen?
Could I change my room?	Könnte ich mein Zimmer wechseln?
Could I get a coffee, please?	Könnte ich bitte einen Kaffee bekommen?
Could I have a receipt?	Könnte ich eine Quittung haben?
Could we have the bill, please?	Könnten wir bitte die Rechnung haben?
Could you call a cab for me?	Könnten Sie mir ein Taxi rufen?
Could you open the window, please?	Könnten Sie bitte das Fenster öffnen?
Could you pass the salt?	Könnten Sie mir das Salz reichen?
Could you say that again?	Könnten Sie das noch einmal sagen?
Could you show me the way?	Könntest du mir den Weg zeigen?
Could you speak a little slower?	Könnten Sie etwas langsamer sprechen?
Could you speak up, please?	Könnten Sie bitte etwas sagen?
Could you wrap it, please?	Könnten Sie es bitte einpacken?
Could you write it down?	Könnten Sie es aufschreiben?
Count me in!	Ich bin dabei!
Cover your mouth when you cough.	Bedecken Sie Ihren Mund, wenn Sie husten.
Culture Day	Kulturtag
DVD	DVD
December	Dezember
Dial the emergency number.	Wählen Sie die Notrufnummer.
Did she finish her work?	Hat sie ihre Arbeit beendet?
Did she pass the exam?	Hat sie die Prüfung bestanden?
Did they come yesterday?	Sind sie gestern gekommen?
Did we miss the bus?	Haben wir den Bus verpasst?
Did you call me?	Hast du mich angerufen?
Did you enjoy the movie?	Hat dir der Film gefallen?
Did you enjoy the trip?	Hat Ihnen die Reise gefallen?
Did you get my message?	Hast du meine Nachricht erhalten?
Did you have a good weekend?	Hattest du ein schönes Wochenende?
Did you have breakfast?	Hast du gefrühstückt?
